"X","Y","Org_Result"
-82.562315,37.57739,"GAS"
-82.563091,37.570679,"GAS"
-82.550563,37.577047,"GAS"
-82.570302,37.568688,"GAS"
-82.56542,37.56347,"GAS"
-82.554657,37.566461,"GAS"
-82.561022,37.556278,"GAS"
-82.56477,37.548215,"GAS"
-82.563351,37.535849,"GAS"
-82.5643,37.541122,"GAS"
-82.564597,37.533402,"GAS"
-82.555392,37.549275,"GAS"
-82.570248,37.54186,"GAS"
-82.56861,37.5444,"GAS"
-82.569328,37.536865,"GAS"
-82.576953,37.53424,"GAS"
-82.580795,37.532145,"GAS"
-82.555793,37.528665,"GAS"
-82.551276,37.528912,"GAS"
-82.561978,37.50401,"GAS"
-82.569424,37.504669,"GAS"
-82.576611,37.508651,"GAS"
-82.322186,37.551648,"GAS"
-82.58886,37.660076,"GAS"
-82.535751,37.654394,"GAS"
-82.547418,37.666303,"GAS"
-82.552378,37.66649,"GAS"
-82.562777,37.662123,"GAS"
-82.53782,37.588826,"GAS"
-82.57191,37.589101,"GAS"
-82.355907,37.630825,"GAS"
